True_K_U,True_K_U_Ratio,Input_K_U,Input_K_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
43241.87,2.0,127200,3.43,8.976005853554874,8.795106517216446,6.0870105702407225
43241.87,2.0,127200,3.43,8.077949204654352,7.9250191102114655,5.400225937979553
43241.87,2.0,127200,3.43,8.828930897974965,8.662819927796216,5.901592565638342
43241.87,2.0,127200,3.43,8.489550366144636,8.305872170955976,5.68036142760333
43241.87,2.0,127200,3.43,8.075969292713214,7.89581257349522,5.128277065818694
43241.87,2.0,127200,3.43,7.9076031330728425,7.741881750661067,5.204418699776866
43241.87,2.0,127200,3.43,8.003751348359506,7.820197858439646,5.248834433938635
43241.87,2.0,127200,3.43,8.11506501421495,7.93650918093272,5.251066849374716
43241.87,2.0,127200,3.43,7.115621411705112,6.96414678494574,4.607952587980334
43241.87,2.0,127200,3.43,6.875847858874166,6.781330670515654,4.635354842270037
43241.87,2.0,127200,3.43,7.41219230002382,7.284370892751463,5.181537419832994
43241.87,2.0,127200,3.43,8.551820827782509,8.381843057323582,5.851623803328594
43241.87,2.0,127200,3.43,7.570049663959958,7.444494318609974,4.7164344631284365
43241.87,2.0,127200,3.43,7.071235108418641,6.936910276896123,4.659734918393314
43241.87,2.0,127200,3.43,9.473282011385349,9.264737460416987,6.239800234500471
43241.87,2.0,127200,3.43,6.693958347551518,6.554307086924314,4.429981480971883
43241.87,2.0,127200,3.43,7.378930348965102,7.2556508320289,4.804553819491005
43241.87,2.0,127200,3.43,7.6136050657021554,7.48646254732918,5.271247413364936
43241.87,2.0,127200,3.43,7.295109892985118,7.197467997814282,4.817314373540391
43241.87,2.0,127200,3.43,8.125610664303052,8.010878933911316,5.222063164115099
43241.87,2.0,127200,3.43,8.110604637190185,7.947489993105281,5.543644825770021
43241.87,2.0,127200,3.43,8.018554292995736,7.888826293450631,5.476205098181942
97294.207,3.0,127200,3.43,1.4984385497408048,1.4550027372034886,1.4896966331442336
97294.207,3.0,127200,3.43,2.279540585967038,2.227291321603689,2.264284162842787
97294.207,3.0,127200,3.43,1.6751391673259255,1.6349042556717217,1.6767709787315366
97294.207,3.0,127200,3.43,1.2569876578833425,1.2314123324805029,1.2513870559931177
97294.207,3.0,127200,3.43,2.049177959953141,2.0193023005019746,2.0323601563930676
97294.207,3.0,127200,3.43,0.22517448138928273,0.21963194586961224,0.22388370796920198
97294.207,3.0,127200,3.43,0.8396407156589245,0.8242963599700042,0.8390636834226849
97294.207,3.0,127200,3.43,0.7834269668774204,0.7712399344825994,0.7780613584029339
97294.207,3.0,127200,3.43,1.538985897603219,1.5109936405516318,1.5266661827659203
97294.207,3.0,127200,3.43,1.5569655451304643,1.5218190719806806,1.5535747090112324
97294.207,3.0,127200,3.43,1.7132709774525456,1.6775300851822446,1.7062928424216415
97294.207,3.0,127200,3.43,2.2836228640326435,2.2288266959030407,2.295468368943601
97294.207,3.0,127200,3.43,2.5538988559897553,2.506932675650007,2.5410929977476386
97294.207,3.0,127200,3.43,2.1656770025793604,2.1082381907838164,2.1563240599704945
97294.207,3.0,127200,3.43,1.2994428790136436,1.2740787442880042,1.2941540987316482
97294.207,3.0,127200,3.43,2.48141198664964,2.4329507960875,2.4681990792956285
97294.207,3.0,127200,3.43,1.757048918082585,1.729961921423838,1.753534571776817
97294.207,3.0,127200,3.43,3.3600303242403626,3.292657224529586,3.3268949631799067
97294.207,3.0,127200,3.43,2.794124300567109,2.7385941643368645,2.7914310471195702
97294.207,3.0,127200,3.43,1.8004219910687032,1.7716263011886224,1.7956942387844383
97294.207,3.0,127200,3.43,1.7726177489008184,1.7399688861531024,1.7670996167165074
97294.207,3.0,127200,3.43,0.9605984242740598,0.9409273301762451,0.9573697152884614
97294.207,3.0,127200,3.43,1.9962829356389846,1.9650373669933356,1.9827263305346212
97294.207,3.0,127200,3.43,0.7146560471372335,0.7006613184570142,0.7105600757502514
97294.207,3.0,127200,3.43,2.2854435644568847,2.2396069568484895,2.2761074377866204
97294.207,3.0,127200,3.43,0.13996952352859857,0.13700349782975768,0.13950019287189758
97294.207,3.0,127200,3.43,0.7770524763259953,0.7601794431475843,0.7688898012852712
97294.207,3.0,127200,3.43,3.746791562156421,3.68336709296,3.7371449235746415
97294.207,3.0,127200,3.43,3.101676435094694,3.0398925455102694,3.0938454734941363
97294.207,3.0,127200,3.43,3.3268485137879704,3.2643409560361096,3.3095174907764426
97294.207,3.0,127200,3.43,0.17260024785765354,0.1694737318902903,0.17206056755101187
97294.207,3.0,127200,3.43,0.4502466235052151,0.44161811780679855,0.45119412990348573
97294.207,3.0,127200,3.43,0.5037086454352715,0.4939332075753878,0.5025030018364539
97294.207,3.0,127200,3.43,3.938073794256384,3.8854497065108866,3.932941987543346
97294.207,3.0,127200,3.43,4.42780951147841,4.34597858157897,4.401600332281656
97294.207,3.0,127200,3.43,4.688181253326136,4.605681981868004,4.658414090071321
97294.207,3.0,127200,3.43,4.679743389858256,4.599852636264414,4.7148175514043515
97294.207,3.0,127200,3.43,4.152393904222051,4.08992556624163,4.133023517987254
