True_M_U,True_M_S_M_U_Ratio,Input_M_U,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
52.0,4.0,28,7.429,7.783729001547114,7.651940652467538,9.63680449138451
52.0,4.0,28,7.429,8.89630366756205,8.740941159318504,11.078577183579144
52.0,4.0,28,7.429,8.59272447570084,8.416858249989188,11.278965197506745
52.0,4.0,28,7.429,6.119409915540167,6.034784786571252,7.923067669392709
52.0,4.0,28,7.429,9.202490771294398,9.051542806975824,12.1647258939406
52.0,4.0,28,7.429,8.708751858985133,8.5588886560723,11.260486180306184
52.0,4.0,28,7.429,7.756599472928511,7.628066264511674,10.243401791258394
52.0,4.0,28,7.429,7.034859192038396,6.877581447423329,8.673510867107177
52.0,4.0,28,7.429,7.721921471038906,7.546296035380347,9.977858663777509
52.0,4.0,28,7.429,8.549257396575253,8.340794285309443,10.917204537565414
52.0,4.0,28,7.429,8.976005853554874,8.795106517216446,10.945441936218817
52.0,4.0,28,7.429,8.077949204654352,7.9250191102114655,10.51045754179543
52.0,4.0,28,7.429,8.828930897974965,8.662819927796216,11.286231906611345
52.0,4.0,28,7.429,8.489550366144636,8.305872170955976,10.681629690342088
52.0,4.0,28,7.429,8.075969292713214,7.89581257349522,10.546129091711252
52.0,4.0,28,7.429,7.9076031330728425,7.741881750661067,9.931159052944711
52.0,4.0,28,7.429,8.003751348359506,7.820197858439646,9.968037497464058
52.0,4.0,28,7.429,8.11506501421495,7.93650918093272,10.2510819880563
52.0,4.0,28,7.429,7.115621411705112,6.96414678494574,9.055886090600126
52.0,4.0,28,7.429,6.875847858874166,6.781330670515654,8.744704356559543
52.0,4.0,28,7.429,7.41219230002382,7.284370892751463,9.172073915354291
52.0,4.0,28,7.429,8.551820827782509,8.381843057323582,10.925311821616331
52.0,4.0,28,7.429,7.570049663959958,7.444494318609974,9.676475602368662
52.0,4.0,28,7.429,7.071235108418641,6.936910276896123,9.03608229844951
52.0,4.0,28,7.429,9.473282011385349,9.264737460416987,12.177338961665114
52.0,4.0,28,7.429,6.693958347551518,6.554307086924314,8.543241573925755
52.0,4.0,28,7.429,7.378930348965102,7.2556508320289,9.105777638500028
52.0,4.0,28,7.429,7.6136050657021554,7.48646254732918,9.865631277895185
52.0,4.0,28,7.429,7.295109892985118,7.197467997814282,9.495167764505384
52.0,4.0,28,7.429,8.125610664303052,8.010878933911316,10.766532197873545
52.0,4.0,28,7.429,8.110604637190185,7.947489993105281,9.893689927377915
52.0,4.0,28,7.429,8.018554292995736,7.888826293450631,10.101744256353722
46.222,4.5,28,7.429,1.4984385497408048,1.4550027372034886,1.8409369557177764
46.222,4.5,28,7.429,2.279540585967038,2.227291321603689,2.802128399582078
46.222,4.5,28,7.429,1.6751391673259255,1.6349042556717217,2.1515379014925022
46.222,4.5,28,7.429,1.2569876578833425,1.2314123324805029,1.541505222841691
46.222,4.5,28,7.429,2.049177959953141,2.0193023005019746,2.514279384343179
46.222,4.5,28,7.429,0.22517448138928273,0.21963194586961224,0.281169180129019
46.222,4.5,28,7.429,0.8396407156589245,0.8242963599700042,1.0518622482257933
46.222,4.5,28,7.429,0.7834269668774204,0.7712399344825994,0.9622192887451303
46.222,4.5,28,7.429,1.538985897603219,1.5109936405516318,1.8959636069193195
46.222,4.5,28,7.429,1.5569655451304643,1.5218190719806806,1.9463531778038787
46.222,4.5,28,7.429,1.7132709774525456,1.6775300851822446,2.125829904003191
46.222,4.5,28,7.429,2.2836228640326435,2.2288266959030407,2.8258361055682477
46.222,4.5,28,7.429,2.5538988559897553,2.506932675650007,3.0745536230677404
46.222,4.5,28,7.429,2.1656770025793604,2.1082381907838164,2.738247846833803
46.222,4.5,28,7.429,1.2994428790136436,1.2740787442880042,1.5941818940233674
46.222,4.5,28,7.429,2.48141198664964,2.4329507960875,3.0588000402717705
46.222,4.5,28,7.429,1.757048918082585,1.729961921423838,2.166331201446983
46.222,4.5,28,7.429,3.3600303242403626,3.292657224529586,4.101982081370145
46.222,4.5,28,7.429,2.794124300567109,2.7385941643368645,3.4363264290268276
46.222,4.5,28,7.429,1.8004219910687032,1.7716263011886224,2.2174731489330837
46.222,4.5,28,7.429,1.7726177489008184,1.7399688861531024,2.1919439669785956
46.222,4.5,28,7.429,0.9605984242740598,0.9409273301762451,1.170600524552655
46.222,4.5,28,7.429,1.9962829356389846,1.9650373669933356,2.4296409765683524
46.222,4.5,28,7.429,0.7146560471372335,0.7006613184570142,0.874053840649175
46.222,4.5,28,7.429,2.2854435644568847,2.2396069568484895,2.8373124349834087
46.222,4.5,28,7.429,0.13996952352859857,0.13700349782975768,0.17210418502520688
46.222,4.5,28,7.429,0.7770524763259953,0.7601794431475843,0.926653677848279
46.222,4.5,28,7.429,3.746791562156421,3.68336709296,4.648313504162209
46.222,4.5,28,7.429,3.101676435094694,3.0398925455102694,3.7803942867108176
46.222,4.5,28,7.429,3.3268485137879704,3.2643409560361096,4.050271274265179
46.222,4.5,28,7.429,0.17260024785765354,0.1694737318902903,0.2144048636418307
46.222,4.5,28,7.429,0.4502466235052151,0.44161811780679855,0.562187729223439
46.222,4.5,28,7.429,0.5037086454352715,0.4939332075753878,0.6270035858507056
46.222,4.5,28,7.429,3.938073794256384,3.8854497065108866,4.855838857652381
46.222,4.5,28,7.429,4.42780951147841,4.34597858157897,5.397914673802037
46.222,4.5,28,7.429,4.688181253326136,4.605681981868004,5.673271915143946
46.222,4.5,28,7.429,4.679743389858256,4.599852636264414,5.933829216561432
46.222,4.5,28,7.429,4.152393904222051,4.08992556624163,5.003716233174341
46.222,4.5,28,7.429,4.3983132023481915,4.324787340142039,5.3489925951107775
46.222,4.5,28,7.429,5.50572272832788,5.410096907298094,6.712232870265708
46.222,4.5,28,7.429,5.2124194018011405,5.126814437836378,6.534357563534552
46.222,4.5,28,7.429,4.058927579908129,3.9780903900283584,4.98111538492547
46.222,4.5,28,7.429,5.229487888189269,5.112968415536107,6.43216489341536
46.222,4.5,28,7.429,4.345279889652502,4.257731017756678,5.43188778425895
46.222,4.5,28,7.429,4.716777844191145,4.6448858370875685,5.7657713954012415
46.222,4.5,28,7.429,5.732982974851909,5.63312625179297,7.119562137718108
46.222,4.5,28,7.429,4.374512503735991,4.29921918731741,5.361750069413877
46.222,4.5,28,7.429,4.316586870416358,4.232260610781126,5.314517741874575
46.222,4.5,28,7.429,4.767367995444496,4.695411057847784,5.934414975272416
46.222,4.5,28,7.429,6.028178273087421,5.875975873697038,7.4387542114150325
46.222,4.5,28,7.429,5.942798077758004,5.837687458277698,7.328768961047568
46.222,4.5,28,7.429,4.649853125185503,4.5922262422855225,5.7619556945922685
46.222,4.5,28,7.429,5.64068732122567,5.536721292616395,6.998431567566353
