True_M_S,True_M_S_M_U_Ratio,Input_M_S,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
84.0,3.0,208,7.429,3.8947537986844036,3.80699920999724,11.302111730055795
84.0,3.0,208,7.429,4.457248930070845,4.386722054075139,12.700369883762564
84.0,3.0,208,7.429,5.033390955691866,4.960213366648264,14.275708622273578
84.0,3.0,208,7.429,3.3348422536167397,3.264279993331141,9.554064935167773
84.0,3.0,208,7.429,7.661449832747567,7.457615595274724,20
84.0,3.0,208,7.429,9.17068800514708,9.008846711666443,20
84.0,3.0,208,7.429,7.783729001547114,7.651940652467538,20
84.0,3.0,208,7.429,8.89630366756205,8.740941159318504,20
84.0,3.0,208,7.429,8.59272447570084,8.416858249989188,20
84.0,3.0,208,7.429,6.119409915540167,6.034784786571252,17.55043605160676
84.0,3.0,208,7.429,9.202490771294398,9.051542806975824,20
84.0,3.0,208,7.429,8.708751858985133,8.5588886560723,20
84.0,3.0,208,7.429,7.756599472928511,7.628066264511674,20
84.0,3.0,208,7.429,7.034859192038396,6.877581447423329,19.94260525936917
84.0,3.0,208,7.429,7.721921471038906,7.546296035380347,20
84.0,3.0,208,7.429,8.549257396575253,8.340794285309443,20
84.0,3.0,208,7.429,8.976005853554874,8.795106517216446,20
84.0,3.0,208,7.429,8.077949204654352,7.9250191102114655,20
84.0,3.0,208,7.429,8.828930897974965,8.662819927796216,20
84.0,3.0,208,7.429,8.489550366144636,8.305872170955976,20
84.0,3.0,208,7.429,8.075969292713214,7.89581257349522,20
84.0,3.0,208,7.429,7.9076031330728425,7.741881750661067,20
84.0,3.0,208,7.429,8.003751348359506,7.820197858439646,20
84.0,3.0,208,7.429,8.11506501421495,7.93650918093272,20
84.0,3.0,208,7.429,7.115621411705112,6.96414678494574,20
84.0,3.0,208,7.429,6.875847858874166,6.781330670515654,19.510996517766223
84.0,3.0,208,7.429,7.41219230002382,7.284370892751463,20
84.0,3.0,208,7.429,8.551820827782509,8.381843057323582,20
84.0,3.0,208,7.429,7.570049663959958,7.444494318609974,20
84.0,3.0,208,7.429,7.071235108418641,6.936910276896123,20
84.0,3.0,208,7.429,9.473282011385349,9.264737460416987,20
84.0,3.0,208,7.429,6.693958347551518,6.554307086924314,19.157126293100443
84.0,3.0,208,7.429,7.378930348965102,7.2556508320289,20
84.0,3.0,208,7.429,7.6136050657021554,7.48646254732918,20
