dx,id,iri,max,mean,min,range,var,vel
0.028571428571428567,C_3_5.0_0.2_175.csv,10.051088671611888,2.8505708452273835,0.002206059300258887,-2.2176532275808705,5.068224072808254,0.16263357791669647,5.0
0.20833333333333331,B_3_26.0_0.1_125.csv,4.935161726282821,1.9683546739101292,-0.008019417653219722,-2.2506107001800553,4.2189653740901845,0.574467444134951,26.0
0.055005500550055014,C_0_11.0_0.5_200.csv,10.166399097255473,7.7422536547751335,-0.002208943407228818,-5.753928278763068,13.496181933538201,0.7229203679174274,11.0
0.13614130434782612,C_1_17.0_0.30000000000000004_125.csv,10.024800442589644,3.939723286045598,0.011030845816727834,-3.0368465083575784,6.976569794403177,1.2764980373357115,17.0
0.06289308176100629,B_6_11.0_0.2_175.csv,4.044660569828629,1.039834695463134,0.0033184174410574516,-1.0497770489360456,2.0896117443991793,0.1278719067995844,11.0
0.06289308176100629,B_0_11.0_0.4_175.csv,5.002251022463458,4.099711430490215,-0.0016618403313588962,-3.33324358192665,7.4329550124168655,0.23725758928813326,11.0
0.18315018315018314,A_9_32.0_0.1_175.csv,2.142097986913442,1.4218060323103343,0.0026894657311368007,-1.2945307966248611,2.7163368289351952,0.15971691947624284,32.0
0.5813953488372093,C_8_29.0_0.4_50.csv,8.702280863395654,3.0716355285006696,0.028722855743947527,-4.451077614910013,7.522713143410683,1.5944219794966175,29.0
0.5813953488372093,A_9_29.0_0.2_50.csv,2.1645048808352807,1.1476297063983454,0.004059920558947733,-1.272807329958846,2.4204370363571917,0.12115447344206676,29.0
0.028571428571428567,A_2_5.0_0.5_175.csv,1.8731631132444848,2.0987277474771724,0.0005277159419423586,-1.2708915689087574,3.36961931638593,0.010124961652051533,5.0
0.20833333333333331,B_1_26.0_0.2_125.csv,5.143759077644621,2.3009768726896187,0.009323941946776214,-1.8755326220313642,4.176509494720983,0.5833123052598378,26.0
0.055005500550055014,A_6_11.0_0.4_200.csv,1.932215941727546,0.3987432182258734,0.001857098428813481,-0.5181663728187662,0.9169095910446396,0.022812309472242335,11.0
0.0700280112044818,C_5_14.0_0.2_200.csv,9.249344527272646,2.571028086210578,-0.0001473191104891601,-2.6596285576243464,5.230656643834925,0.8336976012880325,14.0
0.7042253521126759,A_5_35.0_0.4_50.csv,2.2320782716093235,0.8013728082578405,0.001036743424260768,-1.0202161145303428,1.8215889227881834,0.12053888500428012,35.0
0.13333333333333333,B_1_20.0_0.5_150.csv,4.566765054934434,1.6925279650798681,0.005291990028960228,-1.529880218275055,3.222408183354923,0.315704907858439,20.0
0.1,A_3_20.0_0.1_200.csv,2.4675808631414107,0.9697946608971292,-0.002077942545426856,-1.0407556906955742,2.0105503515927032,0.1095395735796216,20.0
0.3467128027681661,C_3_26.0_0.30000000000000004_75.csv,9.642880641586832,3.5252331982970966,-0.007052563562000905,-3.851559403370602,7.376792601667699,2.0067490862168995,26.0
0.08,C_2_8.0_0.1_100.csv,7.975543634058272,8.640339997586917,0.004512513310985059,-5.1090653344690615,13.749405332055979,0.5516353911656089,8.0
0.11210762331838564,B_4_14.0_0.4_125.csv,4.0754786758225015,1.2825185961396586,-0.003086589514048316,-1.5520014527156365,2.8345200488552953,0.16759143039378915,14.0
0.1,A_2_5.0_0.4_50.csv,1.992066099218471,2.152269431786443,0.00016451504821637033,-1.0363008332980457,3.188570265084489,0.010771997320144243,5.0
0.06402048655569782,C_3_8.0_0.2_125.csv,10.051088671611888,2.8172653515545685,0.002883437069411661,-2.8582056565723417,5.675471008126911,0.45648272605947376,8.0
