True_M_S,True_M_S_M_U_Ratio,Input_M_S,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
84.0,3.0,208,7.429,8.125610664303052,8.011181200499085,20
84.0,3.0,208,7.429,8.110604637190185,7.944716129611949,20
84.0,3.0,208,7.429,8.018554292995736,7.886599472946375,20
98.0,3.5,208,7.429,1.4984385497408048,1.4550860899993514,3.5202875168721612
98.0,3.5,208,7.429,2.279540585967038,2.227282457103679,5.530520588778042
98.0,3.5,208,7.429,1.6751391673259255,1.6349122995744498,4.109460826525843
98.0,3.5,208,7.429,1.2569876578833425,1.231482171663769,3.099508035325704
98.0,3.5,208,7.429,2.049177959953141,2.0194264534509276,4.896226088097281
98.0,3.5,208,7.429,0.22517448138928273,0.2196093775188329,0.5452031397189631
98.0,3.5,208,7.429,0.8396407156589245,0.8242799696721378,2.039375591534658
98.0,3.5,208,7.429,0.7834269668774204,0.7712877948925868,1.9006652260898913
98.0,3.5,208,7.429,1.538985897603219,1.5111958712176081,3.78976893083581
98.0,3.5,208,7.429,1.5569655451304643,1.5219573205560022,3.8038545624113946
98.0,3.5,208,7.429,1.7132709774525456,1.677542118536771,4.185398502178334
98.0,3.5,208,7.429,2.2836228640326435,2.2288062522155005,5.49419202003373
98.0,3.5,208,7.429,2.5538988559897553,2.5068314630186217,6.10041904292276
98.0,3.5,208,7.429,2.1656770025793604,2.108038634550357,5.205406173649216
98.0,3.5,208,7.429,1.2994428790136436,1.2740641911483308,3.1351479159652365
98.0,3.5,208,7.429,2.48141198664964,2.4330043567268564,5.965049595108674
98.0,3.5,208,7.429,1.757048918082585,1.7301469241196425,4.239991524734065
98.0,3.5,208,7.429,3.3600303242403626,3.292598510100461,8.084584044845112
98.0,3.5,208,7.429,2.794124300567109,2.738657767681549,6.710416912510192
98.0,3.5,208,7.429,1.8004219910687032,1.7715979901089784,4.3603575067379134
98.0,3.5,208,7.429,1.7726177489008184,1.7400301471619128,4.316682638523236
98.0,3.5,208,7.429,0.9605984242740598,0.9410121519026675,2.309551973571869
98.0,3.5,208,7.429,1.9962829356389846,1.9652717907704453,4.8616424683917705
98.0,3.5,208,7.429,0.7146560471372335,0.700703715889923,1.7081198701912848
98.0,3.5,208,7.429,2.2854435644568847,2.2394974397866054,5.40741662455704
98.0,3.5,208,7.429,0.13996952352859857,0.13700528096827178,0.33948422384304733
98.0,3.5,208,7.429,0.7770524763259953,0.7602900834941724,1.8550500161483263
98.0,3.5,208,7.429,3.746791562156421,3.683626635192792,9.023740692458844
98.0,3.5,208,7.429,3.101676435094694,3.0396504187403486,7.572447297528801
98.0,3.5,208,7.429,3.3268485137879704,3.2641744072882344,7.9848572908659134
98.0,3.5,208,7.429,0.17260024785765354,0.16947503569055358,0.4208563448292059
98.0,3.5,208,7.429,0.4502466235052151,0.4416124612533724,1.0991065258893413
98.0,3.5,208,7.429,0.5037086454352715,0.49394393633413647,1.2142864566663556
98.0,3.5,208,7.429,3.938073794256384,3.8852510992783023,9.350564183419321
98.0,3.5,208,7.429,4.42780951147841,4.345358312489604,10.577462579474853
98.0,3.5,208,7.429,4.688181253326136,4.605947147673976,11.229551070985027
98.0,3.5,208,7.429,4.679743389858256,4.599136804364471,11.51866842080665
98.0,3.5,208,7.429,4.152393904222051,4.090221897661525,9.866445216206557
