True_K_S,True_K_S_Ratio,Input_K_S,Input_K_S_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
12849.013,0.4,18709,0.483,8.89630366756205,8.740964439740925,9.154599274258667
12849.013,0.4,18709,0.483,8.59272447570084,8.416703992314677,8.96194244266682
12849.013,0.4,18709,0.483,6.119409915540167,6.035372015671034,6.388474039594419
12849.013,0.4,18709,0.483,9.202490771294398,9.053139998787774,9.709355027326362
12849.013,0.4,18709,0.483,8.708751858985133,8.559142453376829,9.202435485806403
12849.013,0.4,18709,0.483,7.756599472928511,7.627659654728857,8.120633733188653
12849.013,0.4,18709,0.483,7.034859192038396,6.877633333089351,7.397108188167799
12849.013,0.4,18709,0.483,7.721921471038906,7.545930092375941,8.025746082927101
12849.013,0.4,18709,0.483,8.549257396575253,8.341512314236793,8.951696971861125
12849.013,0.4,18709,0.483,8.976005853554874,8.794928991941529,9.238890846330735
12849.013,0.4,18709,0.483,8.077949204654352,7.923659840533216,8.326082229904229
12849.013,0.4,18709,0.483,8.828930897974965,8.66371914226252,9.309902818120936
12849.013,0.4,18709,0.483,8.489550366144636,8.305141943054897,8.909690576086088
12849.013,0.4,18709,0.483,8.075969292713214,7.894955147428341,8.425124932681728
12849.013,0.4,18709,0.483,7.9076031330728425,7.741885549923215,8.312940233547534
12849.013,0.4,18709,0.483,8.003751348359506,7.820415145584489,8.47894796689313
12849.013,0.4,18709,0.483,8.11506501421495,7.938151257975872,8.74792987220151
12849.013,0.4,18709,0.483,7.115621411705112,6.964349507965211,7.6761863098266545
12849.013,0.4,18709,0.483,6.875847858874166,6.781341488437277,7.173444498985981
12849.013,0.4,18709,0.483,7.41219230002382,7.2819367951954215,7.7147265916387076
12849.013,0.4,18709,0.483,8.551820827782509,8.381228652950636,8.886910865125856
12849.013,0.4,18709,0.483,7.570049663959958,7.444766616443905,8.260001346672663
12849.013,0.4,18709,0.483,7.071235108418641,6.9363730563384545,7.380789202792567
12849.013,0.4,18709,0.483,9.473282011385349,9.264497655134043,9.86574700052446
12849.013,0.4,18709,0.483,6.693958347551518,6.554359221953507,7.144343485915585
12849.013,0.4,18709,0.483,7.378930348965102,7.255881931623655,7.840663509509265
12849.013,0.4,18709,0.483,7.6136050657021554,7.486395182364716,7.9846373353031606
12849.013,0.4,18709,0.483,7.295109892985118,7.197715690374356,7.6748238439011125
12849.013,0.4,18709,0.483,8.125610664303052,8.011181200499085,8.711235162486393
12849.013,0.4,18709,0.483,8.110604637190185,7.944716129611949,8.258979820872378
12849.013,0.4,18709,0.483,8.018554292995736,7.886599472946375,8.312696358045693
20076.582,0.5,18709,0.483,1.4984385497408048,1.4550860899993514,1.6128882581015698
20076.582,0.5,18709,0.483,2.279540585967038,2.227282457103679,2.432352157479905
20076.582,0.5,18709,0.483,1.6751391673259255,1.6349122995744498,1.8097433385985782
20076.582,0.5,18709,0.483,1.2569876578833425,1.231482171663769,1.3638477847316888
20076.582,0.5,18709,0.483,2.049177959953141,2.0194264534509276,2.1607961488252565
20076.582,0.5,18709,0.483,0.22517448138928273,0.2196093775188329,0.24228921764712535
20076.582,0.5,18709,0.483,0.8396407156589245,0.8242799696721378,0.9000234462997768
20076.582,0.5,18709,0.483,0.7834269668774204,0.7712877948925868,0.8415827517439407
20076.582,0.5,18709,0.483,1.538985897603219,1.5111958712176081,1.65098408762729
20076.582,0.5,18709,0.483,1.5569655451304643,1.5219573205560022,1.6724116677371208
20076.582,0.5,18709,0.483,1.7132709774525456,1.677542118536771,1.8731160142748895
20076.582,0.5,18709,0.483,2.2836228640326435,2.2288062522155005,2.4820790316305312
20076.582,0.5,18709,0.483,2.5538988559897553,2.5068314630186217,2.752639955814937
20076.582,0.5,18709,0.483,2.1656770025793604,2.108038634550357,2.3439445747958985
20076.582,0.5,18709,0.483,1.2994428790136436,1.2740641911483308,1.412750478987193
20076.582,0.5,18709,0.483,2.48141198664964,2.4330043567268564,2.676431811364624
20076.582,0.5,18709,0.483,1.757048918082585,1.7301469241196425,1.8915493864249726
20076.582,0.5,18709,0.483,3.3600303242403626,3.292598510100461,3.5972127888715133
20076.582,0.5,18709,0.483,2.794124300567109,2.738657767681549,3.018724917731311
20076.582,0.5,18709,0.483,1.8004219910687032,1.7715979901089784,1.9646941230631982
20076.582,0.5,18709,0.483,1.7726177489008184,1.7400301471619128,1.92686395489124
20076.582,0.5,18709,0.483,0.9605984242740598,0.9410121519026675,1.0463272267138584
20076.582,0.5,18709,0.483,1.9962829356389846,1.9652717907704453,2.142700870440825
20076.582,0.5,18709,0.483,0.7146560471372335,0.700703715889923,0.7638048008342454
20076.582,0.5,18709,0.483,2.2854435644568847,2.2394974397866054,2.4219837528265775
20076.582,0.5,18709,0.483,0.13996952352859857,0.13700528096827178,0.15161858287231514
20076.582,0.5,18709,0.483,0.7770524763259953,0.7602900834941724,0.8411682846708515
20076.582,0.5,18709,0.483,3.746791562156421,3.683626635192792,4.0233333034705945
20076.582,0.5,18709,0.483,3.101676435094694,3.0396504187403486,3.4280907604352038
20076.582,0.5,18709,0.483,3.3268485137879704,3.2641744072882344,3.584283671655231
20076.582,0.5,18709,0.483,0.17260024785765354,0.16947503569055358,0.18477027525134457
20076.582,0.5,18709,0.483,0.4502466235052151,0.4416124612533724,0.4930824984315119
20076.582,0.5,18709,0.483,0.5037086454352715,0.49394393633413647,0.5444285055865878
20076.582,0.5,18709,0.483,3.938073794256384,3.8852510992783023,4.232989842403133
20076.582,0.5,18709,0.483,4.42780951147841,4.345358312489604,4.732605722134902
