True_K_U,True_K_U_Ratio,Input_K_U,Input_K_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
43241.87,2.0,127200,3.43,8.110604637190185,7.944716129611949,5.541987630309418
43241.87,2.0,127200,3.43,8.018554292995736,7.886599472946375,5.476167702346306
97294.207,3.0,127200,3.43,1.4984385497408048,1.4550860899993514,1.4901999910705426
97294.207,3.0,127200,3.43,2.279540585967038,2.227282457103679,2.264326483751118
97294.207,3.0,127200,3.43,1.6751391673259255,1.6349122995744498,1.6770197602289798
97294.207,3.0,127200,3.43,1.2569876578833425,1.231482171663769,1.2512704250821602
97294.207,3.0,127200,3.43,2.049177959953141,2.0194264534509276,2.032512438199188
97294.207,3.0,127200,3.43,0.22517448138928273,0.2196093775188329,0.22388839303298713
97294.207,3.0,127200,3.43,0.8396407156589245,0.8242799696721378,0.8390220572171389
97294.207,3.0,127200,3.43,0.7834269668774204,0.7712877948925868,0.7780387217215319
97294.207,3.0,127200,3.43,1.538985897603219,1.5111958712176081,1.526632888090926
97294.207,3.0,127200,3.43,1.5569655451304643,1.5219573205560022,1.5537697549972567
97294.207,3.0,127200,3.43,1.7132709774525456,1.677542118536771,1.7063395906827756
97294.207,3.0,127200,3.43,2.2836228640326435,2.2288062522155005,2.2954718447325146
97294.207,3.0,127200,3.43,2.5538988559897553,2.5068314630186217,2.541150813390879
97294.207,3.0,127200,3.43,2.1656770025793604,2.108038634550357,2.1563940114548243
97294.207,3.0,127200,3.43,1.2994428790136436,1.2740641911483308,1.294109770424294
97294.207,3.0,127200,3.43,2.48141198664964,2.4330043567268564,2.468186876558358
97294.207,3.0,127200,3.43,1.757048918082585,1.7301469241196425,1.7536955545391693
97294.207,3.0,127200,3.43,3.3600303242403626,3.292598510100461,3.3266147673269195
97294.207,3.0,127200,3.43,2.794124300567109,2.738657767681549,2.7917982858948416
97294.207,3.0,127200,3.43,1.8004219910687032,1.7715979901089784,1.795621444708989
97294.207,3.0,127200,3.43,1.7726177489008184,1.7400301471619128,1.7671030980220446
97294.207,3.0,127200,3.43,0.9605984242740598,0.9410121519026675,0.9573915311401308
97294.207,3.0,127200,3.43,1.9962829356389846,1.9652717907704453,1.9828718657142834
97294.207,3.0,127200,3.43,0.7146560471372335,0.700703715889923,0.71058767064093
97294.207,3.0,127200,3.43,2.2854435644568847,2.2394974397866054,2.2762548637283557
97294.207,3.0,127200,3.43,0.13996952352859857,0.13700528096827178,0.13949244622507503
97294.207,3.0,127200,3.43,0.7770524763259953,0.7602900834941724,0.7688602749447894
97294.207,3.0,127200,3.43,3.746791562156421,3.683626635192792,3.7373119004243653
97294.207,3.0,127200,3.43,3.101676435094694,3.0396504187403486,3.09389844296206
97294.207,3.0,127200,3.43,3.3268485137879704,3.2641744072882344,3.3100098351341987
97294.207,3.0,127200,3.43,0.17260024785765354,0.16947503569055358,0.1720593968576075
97294.207,3.0,127200,3.43,0.4502466235052151,0.4416124612533724,0.4511957693264989
97294.207,3.0,127200,3.43,0.5037086454352715,0.49394393633413647,0.502536987184607
97294.207,3.0,127200,3.43,3.938073794256384,3.8852510992783023,3.9328262606266375
97294.207,3.0,127200,3.43,4.42780951147841,4.345358312489604,4.401800481168348
97294.207,3.0,127200,3.43,4.688181253326136,4.605947147673976,4.658358795055883
97294.207,3.0,127200,3.43,4.679743389858256,4.599136804364471,4.71412687237408
97294.207,3.0,127200,3.43,4.152393904222051,4.090221897661525,4.1323778976076
97294.207,3.0,127200,3.43,4.3983132023481915,4.324935114113417,4.362892335372887
97294.207,3.0,127200,3.43,5.50572272832788,5.410099129674725,5.4400769035827405
97294.207,3.0,127200,3.43,5.2124194018011405,5.126726870125369,5.205744267374932
97294.207,3.0,127200,3.43,4.058927579908129,3.9775856516666317,4.039147692901303
97294.207,3.0,127200,3.43,5.229487888189269,5.113011515332458,5.206094424110537
97294.207,3.0,127200,3.43,4.345279889652502,4.257565998509981,4.349663790274234
97294.207,3.0,127200,3.43,4.716777844191145,4.644517935718598,4.685743848269053
97294.207,3.0,127200,3.43,5.732982974851909,5.633192482747276,5.715270986990631
97294.207,3.0,127200,3.43,4.374512503735991,4.299496762038216,4.349200148573722
97294.207,3.0,127200,3.43,4.316586870416358,4.230592846622747,4.3027490485372
97294.207,3.0,127200,3.43,4.767367995444496,4.6952309735408715,4.749575464695075
97294.207,3.0,127200,3.43,6.028178273087421,5.876346588571987,5.982037111488839
97294.207,3.0,127200,3.43,5.942798077758004,5.8376112616153035,5.909589707803665
97294.207,3.0,127200,3.43,4.649853125185503,4.591733423271698,4.649582689802427
97294.207,3.0,127200,3.43,5.64068732122567,5.538238126301387,5.642743812437465
97294.207,3.0,127200,3.43,3.85094912156503,3.7686779647679827,3.8184178936771067
97294.207,3.0,127200,3.43,4.564458458184601,4.484769283323523,4.532605046378611
97294.207,3.0,127200,3.43,5.7600803794276185,5.636534243266479,5.746175565759809
97294.207,3.0,127200,3.43,4.5363335392826825,4.437764387620612,4.527991819518227
97294.207,3.0,127200,3.43,4.85293412830562,4.78875568122085,4.836191825169323
97294.207,3.0,127200,3.43,5.253806555660671,5.149056444252005,5.254155246317155
97294.207,3.0,127200,3.43,5.932108531394192,5.831792007293517,5.914594230101802
97294.207,3.0,127200,3.43,4.936539523537977,4.847633146987517,4.923061634518925
97294.207,3.0,127200,3.43,4.047292520687275,3.9761165232481317,4.025523426387966
97294.207,3.0,127200,3.43,3.8947537986844036,3.8070886243233675,3.886028456570417
97294.207,3.0,127200,3.43,4.457248930070845,4.386729599126238,4.459999551792313
97294.207,3.0,127200,3.43,5.033390955691866,4.959736041848303,5.035218489550912
97294.207,3.0,127200,3.43,3.3348422536167397,3.2645738876054464,3.3100753371424316
97294.207,3.0,127200,3.43,7.661449832747567,7.456931872645597,7.635704633218908
97294.207,3.0,127200,3.43,9.17068800514708,9.009733591191615,9.087014695517578
97294.207,3.0,127200,3.43,7.783729001547114,7.652870580530572,7.748063022282822
97294.207,3.0,127200,3.43,8.89630366756205,8.740964439740925,8.836368187103194
97294.207,3.0,127200,3.43,8.59272447570084,8.416703992314677,8.567129125568323
97294.207,3.0,127200,3.43,6.119409915540167,6.035372015671034,6.108261282277875
97294.207,3.0,127200,3.43,9.202490771294398,9.053139998787774,9.184712499491685
97294.207,3.0,127200,3.43,8.708751858985133,8.559142453376829,8.648082429668925
97294.207,3.0,127200,3.43,7.756599472928511,7.627659654728857,7.726931048960284
97294.207,3.0,127200,3.43,7.034859192038396,6.877633333089351,7.01328098777029
97294.207,3.0,127200,3.43,7.721921471038906,7.545930092375941,7.641633987695875
97294.207,3.0,127200,3.43,8.549257396575253,8.341512314236793,8.492238074125234
97294.207,3.0,127200,3.43,8.976005853554874,8.794928991941529,8.87729388087405
97294.207,3.0,127200,3.43,8.077949204654352,7.923659840533216,8.010280162758674
97294.207,3.0,127200,3.43,8.828930897974965,8.66371914226252,8.813912567003783
97294.207,3.0,127200,3.43,8.489550366144636,8.305141943054897,8.453536724168245
97294.207,3.0,127200,3.43,8.075969292713214,7.894955147428341,7.9996028153129455
97294.207,3.0,127200,3.43,7.9076031330728425,7.741885549923215,7.853995258572796
97294.207,3.0,127200,3.43,8.003751348359506,7.820415145584489,7.934942389432306
97294.207,3.0,127200,3.43,8.11506501421495,7.938151257975872,8.05057921894426
97294.207,3.0,127200,3.43,7.115621411705112,6.964349507965211,7.1040346657877596
97294.207,3.0,127200,3.43,6.875847858874166,6.781341488437277,6.858034429000261
97294.207,3.0,127200,3.43,7.41219230002382,7.2819367951954215,7.358533555912278
97294.207,3.0,127200,3.43,8.551820827782509,8.381228652950636,8.545932320337824
97294.207,3.0,127200,3.43,7.570049663959958,7.444766616443905,7.60596706295537
97294.207,3.0,127200,3.43,7.071235108418641,6.9363730563384545,7.03195520195931
97294.207,3.0,127200,3.43,9.473282011385349,9.264497655134043,9.387344982228951
97294.207,3.0,127200,3.43,6.693958347551518,6.554359221953507,6.687704715482443
97294.207,3.0,127200,3.43,7.378930348965102,7.255881931623655,7.36028336507063
97294.207,3.0,127200,3.43,7.6136050657021554,7.486395182364716,7.603921825584361
97294.207,3.0,127200,3.43,7.295109892985118,7.197715690374356,7.308188385840517
